Ticker,Description,Shares Float,Market Capitalization,Pre-market Change %,Pre-market High,Pre-market Volume,Volume,Volume*Price,Open,Post-market Open,High,Low,Volatility,Change %,Sector,Volatility Month
FNCH,"Finch Therapeutics Group, Inc.",564251.8081,13480581.36,,,,8073,67813.2,8.23,8.4,8.43,8.05,4.72049689,1.69491525,Health Services,13.92723866
RNAZ,"TransCode Therapeutics, Inc.",619154.9424,2243804.329,-0.78431373,2.59,1896,54022,142618.08,2.51,2.64,2.65,2.5,6,3.52941176,Health Technology,14.42101874
RMGC,RMG Acquisition Corp. III,868345.4174,147345181.1,,,,12278,139232.52,11.3,,11.36,11.16,1.7921147,0.3539823,Finance,1.96308544
COOL,Corner Growth Acquisition Corp.,994279.3174,125791746.5,3.64298725,11.38,170,32728,367862.72,11.135,10.73,11.41,10.93,4.3915828,2.36794171,Finance,3.11838778
MINM,"Minim, Inc.",1031865.267,8116399.976,-0.97560976,4.13,1950,537792,2312505.6,4.13,4.3,5.28,3.9701,32.99413113,4.87804878,Electronic Technology,10.52462903
LIVE,Live Ventures Incorporated,1074107.33,83832767.7,,,,14183,375565.84,26.7,26.48,28,26.205,6.84983782,0.49335863,Consumer Durables,3.97538483
ATIP,"ATI Physical Therapy, Inc.",1140620.502,52582575.52,-9.87654321,9.49,100,321991,4060306.51,9.62,12.61,13.481,9.62,40.13513514,19.75308642,Health Services,17.12749187
HALL,"Hallmark Financial Services, Inc.",1188545.799,8019505.924,,,,11150,49171.5,4.2784,4.41,4.44,4.145,7.11700844,1.37931034,Finance,5.69139539
BFRG,"Bullfrog AI Holdings, Inc.",1189368.881,23594322.87,1.71990172,4.2,4364,322003,1342752.51,4.1,4.17,4.3,3.91,9.97442455,2.45700246,Technology Services,10.72527646
GATE,Marblegate Acquisition Corp.,1235391.371,126760013.2,0.28957529,10.5,800,26984,279824.08,10.43,,10.5012,10.34,1.5589942,0.0965251,Finance,0.7781535
WAFU,Wah Fu Education Group Limited,1240086.056,10256596.39,,,,10101,23333.31,2.29,,2.34,2.29,3.05240175,1.75763182,Commercial Services,5.16320077
MGIH,Millennium Group International Holdings Limited,1249998.75,23287500,-2.92682927,2.08,21159,230949,478064.43,1.95,2.06,2.19,1.95,12.30769231,0.97560976,Process Industries,12.9869555
SBET,SharpLink Gaming Ltd.,1275656.349,7924255.744,,,,23889,67366.98,2.65,2.71,2.875,2.5695,11.88947266,9.30232558,Technology Services,7.83079822
XBIO,"Xenetic Biosciences, Inc.",1305352.862,5262809.791,-10.02949853,3.05,142,5529,19185.63,3.29,,3.47,3.29,5.47112462,2.35988201,Health Technology,8.02942202
ATRI,Atrion Corporation,1336268.246,1008481917,,,,6969,3992121.96,550.92,572.84,580.02,550.92,6.1533435,4.89269758,Health Technology,1.93802904
ASNS,"Actelis Networks, Inc.",1360489.983,5378937.585,,,,80271,248037.39,3.08,3.08,3.4,3,13.33333333,2.31788079,Electronic Technology,10.06860169
CELZ,"Creative Medical Technology Holdings, Inc.",1371863.637,6981815.24,7.07070707,5.3,3000,159676,791992.96,4.91,4.96,5.2899,4.8101,9.9748446,0.2020202,Health Technology,11.29179323
BMR,Beamr Imaging Ltd.,1415400.486,11941625.2,-3.78006873,2.8,1834,102858,301373.94,2.81,2.93,2.9499,2.8,5.35357143,0.68728522,Technology Services,22.94910956
NBSE,"NeuBase Therapeutics, Inc.",1419860.986,5156079.222,-4.44444444,2.58,1608,551114,1680897.7,2.69,3.05,3.48,2.49,39.75903614,12.96296296,Health Technology,15.86727607
AIRT,"Air T, Inc.",1422927.119,74585943.57,,,,15977,422911.19,25.68,26.47,27.15,24.2,12.19008264,5.83766493,Transportation,5.6133102
EDRY,EuroDry Ltd.,1462070.09,40312693.68,,,,12685,179793.3845,13.99,,14.1876,13.85,2.43754513,1.31308077,Transportation,3.14708959
BIOC,"Biocept, Inc.",1464501.658,2982833.617,-4.14507772,2,5096,172350,349870.5,1.92,2.03,2.03,1.831,10.86837794,5.18134715,Health Technology,15.42414041
ARL,"American Realty Investors, Inc.",1471721.784,336447055.6,,,,9660,201217.8,20.86,20.83,21.05,20.21,4.15635824,0.62801932,Finance,2.9856256
ZJYL,JIN MEDICAL INTERNATIONAL LTD.,1517976,83119998.9,-1.59404888,9.26,530,101397,1053514.83,9.82,10.39,12.28,9.66,29.71014493,10.41445271,Health Technology,21.00015501
BELFA,Bel Fuse Inc.,1606693.632,767780724.5,,,,13330,803265.8,57.7,60.26,60.4299,57.7,4.73119584,3.00854701,Electronic Technology,3.47247357
SDA,SunCar Technology Group Inc.,1630321.66,100469033.2,4.23304506,25.94,9997,790310,20279354.6,22.8,25.66,26.5499,22.21,20.62089149,16.79563041,Finance,56.19603768
USGO,U.S. GoldMining Inc.,1662349.517,157390963,7.72532189,12.55,1056,48474,628707.78,12.55,12.97,12.97,12.04,10.96345515,11.3304721,Non-Energy Minerals,6.67508612
SSIC,Silver Spike Investment Corp.,1687090.25,51582399.44,,,,5154,42778.7154,8.3,,8.4973,8.3,4.54578313,2.2179803,Miscellaneous,1.38779693
